"Vuosi";"Koulutusaste";"Sukupuoli";"Asuinmaakunta";"Koulutusala";"Tutkinnon suorittaneet vuosi ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (lkm)";"Työlliset yhteensä vuosi valmistumisen jälkeen (%)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (lkm)";"Päätoimiset työlliset vuosi valmistumisen jälkeen (%)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Työlliset opiskelijat vuosi valmistumisen jälkeen (%)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat vuosi valmistumisen jälkeen (%)";"Työttömät vuosi valmistumisen jälkeen  (lkm)";"Työttömät vuosi valmistumisen jälkeen (%)";"Muut vuosi valmistumisen jälkeen  (lkm)";"Muut vuosi valmistumisen jälkeen (%)";"Tutkinnon suorittaneet kolme vuotta ennen tilastovuotta yhteensä (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset yhteensä kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset työlliset kolme vuotta valmistumisen jälkeen (%)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Työlliset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (lkm)";"Päätoimiset opiskelijat kolme vuotta valmistumisen jälkeen (%)";"Työttömät kolme vuotta valmistumisen jälkeen  (lkm)";"Työttömät kolme vuotta valmistumisen jälkeen (%)";"Muut kolme vuotta valmistumisen jälkeen  (lkm)";"Muut kolme vuotta valmistumisen jälkeen (%)"
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Keski-Suomi";"Tietojenkäsittely ja tietoliikenne (ICT)";4;.;.;.;.;.;.;.;.;.;.;.;.;6;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Etelä-Pohjanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";7;.;.;.;.;.;.;.;.;.;.;.;.;1;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Pohjanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";5;.;.;.;.;.;.;.;.;.;.;.;.;8;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Keski-Pohjanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";2;.;.;.;.;.;.;.;.;.;.;.;.;2;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Pohjois-Pohjanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";12;.;.;2;17;.;.;4;33;3;25;3;25;15;4;27;2;13;2;13;7;47;1;7;3;20
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Kainuu";"Tietojenkäsittely ja tietoliikenne (ICT)";2;.;.;.;.;.;.;.;.;.;.;.;.;4;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Lappi";"Tietojenkäsittely ja tietoliikenne (ICT)";5;.;.;.;.;.;.;.;.;.;.;.;.;5;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Ahvenanmaa";"Tietojenkäsittely ja tietoliikenne (ICT)";4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"2020";"32 Ammatillinen peruskoulutus";"Naiset";"Tuntematon";"Tietojenkäsittely ja tietoliikenne (ICT)";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"2021";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Koko maa";"Tietojenkäsittely ja tietoliikenne (ICT)";1969;835;42;685;35;150;8;389;20;502;25;243;12;1913;1027;54;808;42;219;11;412;22;322;17;152;8
"2021";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Uusimaa";"Tietojenkäsittely ja tietoliikenne (ICT)";608;302;50;237;39;65;11;95;16;131;22;80;13;582;353;61;283;49;70;12;86;15;101;17;42;7
"2021";"32 Ammatillinen peruskoulutus";"Sukupuolet yhteensä";"Varsinais-Suomi";"Tietojenkäsittely ja tietoliikenne (ICT)";156;67;43;58;37;9;6;24;15;41;26;24;15;183;107;58;80;44;27;15;45;25;19;10;12;7
